Combination,Combination ID,Run,Generation,Fitness
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,35,1.42333
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,36,1.42333
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,37,1.42333
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,38,1.42333
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,39,1.42333
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,40,1.46047
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,41,1.46047
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,42,1.46047
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,43,1.46047
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,44,1.46047
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,45,1.46047
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,46,1.46047
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,47,1.46047
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,48,1.46047
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,49,1.46047
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,50,1.46047
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,1,1.2820399999999998
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,2,1.2820399999999998
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,3,1.29053
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,4,1.29667
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,5,1.2996699999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,6,1.32504
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,7,1.33586
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,8,1.37396
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,9,1.3771000000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,10,1.3771000000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,11,1.3771000000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,12,1.3771000000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,13,1.3771000000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,14,1.3771000000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,15,1.4049600000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,16,1.4049600000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,17,1.4078100000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,18,1.4078100000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,19,1.4078100000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,20,1.4078100000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,21,1.4078100000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,22,1.4256199999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,23,1.4256199999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,24,1.4256199999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,25,1.4256199999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,26,1.4256199999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,27,1.4256199999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,28,1.4256199999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,29,1.4256199999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,30,1.43047
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,31,1.43676
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,32,1.43676
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,33,1.43676
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,34,1.43676
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,35,1.43676
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,36,1.43676
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,37,1.43676
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,38,1.4665300000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,39,1.4665300000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,40,1.49081
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,41,1.49081
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,42,1.49081
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,43,1.49081
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,44,1.49081
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,45,1.49081
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,46,1.49081
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,47,1.49081
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,48,1.49081
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,49,1.49081
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,50,1.49081
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,1,1.2261400000000002
